atomic number, density (g/cm3), initial energy eV, number trajectories, repetition id, bse, bse variance, bse std, te, te variance, te std, elapse time s
29, 12, 15000, 1000000, 1, 0.329043, 2.20774e-07, 0.000469866, 0, 0, 0, 86.2186
29, 12, 15000, 1000000, 2, 0.329878, 2.21059e-07, 0.000470169, 0, 0, 0, 86.1345
29, 12, 15000, 1000000, 3, 0.329178, 2.2082e-07, 0.000469915, 0, 0, 0, 86.1972
29, 12, 15000, 1000000, 4, 0.328243, 2.205e-07, 0.000469574, 0, 0, 0, 86.2335
29, 12, 15000, 1000000, 5, 0.330066, 2.21122e-07, 0.000470237, 0, 0, 0, 86.1488
29, 12, 15000, 1000000, 6, 0.328862, 2.20712e-07, 0.0004698, 0, 0, 0, 86.1791
29, 12, 15000, 1000000, 7, 0.32879, 2.20687e-07, 0.000469773, 0, 0, 0, 86.2167
29, 12, 15000, 1000000, 8, 0.329096, 2.20792e-07, 0.000469885, 0, 0, 0, 86.2139
29, 12, 15000, 1000000, 9, 0.328489, 2.20584e-07, 0.000469664, 0, 0, 0, 86.2625
29, 12, 15000, 1000000, 10, 0.328808, 2.20693e-07, 0.00046978, 0, 0, 0, 86.28
29, 13, 15000, 1000000, 1, 0.329443, 2.2091e-07, 0.000470011, 0, 0, 0, 86.1734
29, 13, 15000, 1000000, 2, 0.328637, 2.20635e-07, 0.000469718, 0, 0, 0, 86.2656
29, 13, 15000, 1000000, 3, 0.329044, 2.20774e-07, 0.000469866, 0, 0, 0, 86.2824
29, 13, 15000, 1000000, 4, 0.328898, 2.20724e-07, 0.000469813, 0, 0, 0, 86.2573
29, 13, 15000, 1000000, 5, 0.328487, 2.20583e-07, 0.000469663, 0, 0, 0, 86.2977
29, 13, 15000, 1000000, 6, 0.328641, 2.20636e-07, 0.000469719, 0, 0, 0, 86.2706
29, 13, 15000, 1000000, 7, 0.328224, 2.20493e-07, 0.000469567, 0, 0, 0, 86.3379
29, 13, 15000, 1000000, 8, 0.328835, 2.20703e-07, 0.00046979, 0, 0, 0, 86.1913
29, 13, 15000, 1000000, 9, 0.329182, 2.20821e-07, 0.000469916, 0, 0, 0, 86.1764
29, 13, 15000, 1000000, 10, 0.328605, 2.20624e-07, 0.000469706, 0, 0, 0, 86.259
29, 14, 15000, 1000000, 1, 0.329789, 2.21028e-07, 0.000470136, 0, 0, 0, 86.1625
29, 14, 15000, 1000000, 2, 0.328904, 2.20726e-07, 0.000469815, 0, 0, 0, 86.1872
29, 14, 15000, 1000000, 3, 0.329516, 2.20935e-07, 0.000470037, 0, 0, 0, 86.1048
29, 14, 15000, 1000000, 4, 0.328652, 2.2064e-07, 0.000469723, 0, 0, 0, 86.2436
29, 14, 15000, 1000000, 5, 0.32883, 2.20701e-07, 0.000469788, 0, 0, 0, 86.2446
29, 14, 15000, 1000000, 6, 0.32985, 2.21049e-07, 0.000470158, 0, 0, 0, 86.1586
29, 14, 15000, 1000000, 7, 0.328324, 2.20527e-07, 0.000469603, 0, 0, 0, 86.3142
29, 14, 15000, 1000000, 8, 0.329629, 2.20974e-07, 0.000470078, 0, 0, 0, 86.1417
29, 14, 15000, 1000000, 9, 0.329753, 2.21016e-07, 0.000470123, 0, 0, 0, 86.1163
29, 14, 15000, 1000000, 10, 0.329384, 2.2089e-07, 0.00046999, 0, 0, 0, 86.18
29, 15, 15000, 1000000, 1, 0.329349, 2.20878e-07, 0.000469977, 0, 0, 0, 86.1591
29, 15, 15000, 1000000, 2, 0.32927, 2.20851e-07, 0.000469948, 0, 0, 0, 86.1471
29, 15, 15000, 1000000, 3, 0.328401, 2.20554e-07, 0.000469632, 0, 0, 0, 86.2373
29, 15, 15000, 1000000, 4, 0.328943, 2.2074e-07, 0.000469829, 0, 0, 0, 86.2492
29, 15, 15000, 1000000, 5, 0.329108, 2.20796e-07, 0.000469889, 0, 0, 0, 86.1914
29, 15, 15000, 1000000, 6, 0.32913, 2.20803e-07, 0.000469897, 0, 0, 0, 86.2581
29, 15, 15000, 1000000, 7, 0.328674, 2.20647e-07, 0.000469731, 0, 0, 0, 86.2472
29, 15, 15000, 1000000, 8, 0.32917, 2.20817e-07, 0.000469912, 0, 0, 0, 86.2171
29, 15, 15000, 1000000, 9, 0.329133, 2.20804e-07, 0.000469898, 0, 0, 0, 86.2261
